ID,Position,Beats
247,8,0.5
248,0,0
249,24,1.5
250,0,0
251,287,17.9375
252,70,4.375
253,0,0
255,160,10
256,0,0
257,0,0
258,0,0
259,32,2
260,32,2
261,40,2.5
262,16,1
263,0,0
264,56,3.5
265,0,0
266,0,0
267,28,1.75
268,0,0
269,0,0
270,0,0
271,128,8
272,8,0.5
273,-8,-0.5
274,0,0
275,12,0.75
276,8,0.5
277,6,0.375
278,256,16
279,288,18
281,0,0
282,40,2.5
283,0,0
284,0,0
285,16,1
286,0,0
287,24,1.5
288,72,4.5
289,4,0.25
290,4,0.25
291,0,0
292,8,0.5
293,0,0
294,0,0
295,0,0
296,0,0
297,24,1.5
298,24,1.5
299,8,0.5
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,16,1
306,0,0
308,0,0
309,0,0
310,420,26.25
312,0,0
313,16,1
314,0,0
315,0,0
316,8,0.5
317,0,0
318,0,0
319,0,0
320,0,0
321,192,12
322,470,29.375
323,16,1
324,188,11.75
325,0,0
326,192,12
327,40,2.5
329,0,0
330,0,0
331,0,0
332,4,0.25
333,96,6
334,-4,-0.25
335,0,0
336,0,0
337,64,4
338,320,20
339,0,0
340,24,1.5
341,240,15
342,0,0
343,0,0
344,16,1
345,0,0
346,0,0
347,0,0
348,556,34.75
349,0,0
350,85,5.3125
351,0,0
352,0,0
353,0,0
354,72,4.5
355,0,0
356,0,0
357,0,0
358,16,1
359,0,0
361,12,0.75
362,0,0
363,12,0.75
364,16,1
365,12,0.75
366,0,0
367,0,0
368,0,0
370,176,11
371,-16,-1
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,16,1
378,12,0.75
380,0,0
381,16,1
382,32,2
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,320,20
389,56,3.5
390,240,15
391,241,15.0625
392,16,1
394,256,16
395,3,0.1875
396,16,1
397,19,1.1875
398,0,0
399,6,0.375
400,359,22.4375
401,0,0
402,0,0
403,16,1
404,0,0
405,0,0
406,0,0
407,16,1
408,8,0.5
409,4,0.25
410,0,0
411,0,0
413,8,0.5
414,20,1.25
415,0,0
416,48,3
417,0,0
418,0,0
419,8,0.5
420,1,0.0625
421,16,1
422,20,1.25
423,8,0.5
424,16,1
425,0,0
426,5,0.3125
427,0,0
428,5,0.3125
429,2,0.125
430,0,0
431,0,0
432,0,0
433,0,0
434,22,1.375
435,0,0
436,32,2
437,0,0
438,0,0
439,0,0
440,0,0
441,8,0.5
442,0,0
443,0,0
444,60,3.75
445,16,1
446,64,4
447,0,0
448,173,10.8125
449,67,4.1875
450,16,1
451,0,0
452,0,0
453,32,2
454,24,1.5
455,235,14.6875
456,20,1.25
457,453,28.3125
458,0,0
459,0,0
460,16,1
461,0,0
462,8,0.5
463,0,0
464,63,3.9375
465,0,0
466,0,0
467,0,0
468,8,0.5
469,-16,-1
470,0,0
471,0,0
472,0,0
473,0,0
474,189,11.8125
475,0,0
476,39,2.4375
477,56,3.5
478,8,0.5
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,16,1
487,405,25.3125
488,8,0.5
489,127,7.9375
490,0,0
491,0,0
492,16,1
493,0,0
494,0,0
495,3,0.1875
496,0,0
497,0,0
498,12,0.75
499,24,1.5
500,0,0
501,4,0.25
502,0,0
503,24,1.5
504,16,1
505,-6,-0.375
506,440,27.5
507,0,0
508,0,0
510,0,0
511,153,9.5625
512,24,1.5
513,0,0
514,16,1
515,24,1.5
516,0,0
517,0,0
518,0,0
519,5,0.3125
520,0,0
521,0,0
522,0,0
523,8,0.5
524,24,1.5
525,0,0
526,0,0
527,0,0
528,24,1.5
529,0,0
530,0,0
531,161,10.0625
532,8,0.5
533,80,5
534,16,1
535,0,0
536,0,0
537,16,1
538,4,0.25
539,8,0.5
540,0,0
541,0,0
542,0,0
543,0,0
544,0,0
545,0,0
546,0,0
547,32,2
548,0,0
549,56,3.5
550,7,0.4375
551,0,0
552,0,0
553,0,0
554,0,0
555,0,0
556,32,2
557,8,0.5
558,8,0.5
559,32,2
560,0,0
561,0,0
562,0,0
563,256,16
564,0,0
565,0,0
566,4,0.25
567,0,0
568,12,0.75
569,16,1
570,4,0.25
571,28,1.75
572,0,0
573,48,3
574,0,0
575,22,1.375
576,0,0
577,24,1.5
578,0,0
579,0,0
580,0,0
581,0,0
582,16,1
583,8,0.5
585,0,0
586,0,0
587,236,14.75
588,4,0.25
589,64,4
590,0,0
591,16,1
593,16,1
594,12,0.75
595,0,0
596,0,0
597,16,1
598,0,0
599,0,0
600,16,1
601,16,1
602,16,1
603,0,0
604,16,1
605,0,0
606,16,1
607,4,0.25
608,0,0
609,42,2.625
610,0,0
611,0,0
612,3,0.1875
613,24,1.5
614,0,0
615,0,0
616,24,1.5
617,64,4
618,0,0
619,20,1.25
620,0,0
621,0,0
622,0,0
623,0,0
625,0,0
626,16,1
627,16,1
628,0,0
629,480,30
630,0,0
631,24,1.5
633,272,17
634,24,1.5
635,0,0
636,0,0
637,0,0
638,0,0
639,3,0.1875
640,19,1.1875
641,0,0
642,0,0
643,63,3.9375
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,20,1.25
652,8,0.5
655,0,0
656,15,0.9375
657,2,0.125
658,0,0
659,0,0
660,40,2.5
661,3,0.1875
663,3,0.1875
664,0,0
665,283,17.6875
666,16,1
667,219,13.6875
668,0,0
669,10,0.625
670,0,0
671,3,0.1875
672,0,0
673,-9,-0.5625
674,0,0
675,0,0
676,16,1
677,9,0.5625
679,6,0.375
680,24,1.5
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,8,0.5
690,0,0
691,24,1.5
692,17,1.0625
694,0,0
695,0,0
696,0,0
697,0,0
698,24,1.5
699,7,0.4375
700,0,0
701,16,1
702,0,0
703,0,0
704,32,2
705,3,0.1875
706,23,1.4375
707,0,0
708,0,0
709,0,0
710,8,0.5
711,16,1
712,1,0.0625
713,0,0
714,0,0
715,5,0.3125
716,0,0
717,0,0
718,24,1.5
719,8,0.5
720,16,1
721,0,0
722,8,0.5
723,0,0
724,0,0
725,16,1
726,12,0.75
727,396,24.75
728,16,1
729,16,1
730,0,0
731,0,0
732,20,1.25
733,0,0
734,0,0
735,0,0
736,16,1
737,0,0
738,3,0.1875
739,0,0
740,0,0
741,80,5
742,0,0
743,20,1.25
745,0,0
746,0,0
747,0,0
748,125,7.8125
750,0,0
751,32,2
752,0,0
753,16,1
754,56,3.5
755,0,0
757,16,1
758,8,0.5
759,0,0
760,0,0
761,32,2
762,64,4
763,8,0.5
764,0,0
765,40,2.5
766,4,0.25
767,17,1.0625
768,0,0
769,24,1.5
771,0,0
772,0,0
773,1,0.0625
774,16,1
776,24,1.5
777,13,0.8125
778,0,0
779,192,12
780,2,0.125
781,0,0
782,0,0
783,24,1.5
784,0,0
785,16,1
786,320,20
787,128,8
788,3,0.1875
789,12,0.75
790,9,0.5625
791,372,23.25
792,32,2
793,0,0
794,0,0
795,10,0.625
796,0,0
797,128,8
798,0,0
800,540,33.75
802,0,0
803,25,1.5625
804,11,0.6875
805,16,1
807,256,16
808,20,1.25
809,0,0
810,16,1
811,0,0
812,0,0
813,23,1.4375
814,0,0
815,0,0
816,39,2.4375
817,0,0
818,0,0
819,0,0
820,0,0
821,7,0.4375
822,1,0.0625
823,3,0.1875
824,8,0.5
825,0,0
826,0,0
827,2,0.125
828,8,0.5
829,3,0.1875
830,24,1.5
831,16,1
832,0,0
833,0,0
834,0,0
835,0,0
836,8,0.5
837,0,0
838,0,0
839,4,0.25
840,0,0
841,0,0
842,24,1.5
844,0,0
845,0,0
846,5,0.3125
847,32,2
848,8,0.5
849,2,0.125
850,0,0
851,16,1
852,16,1
853,0,0
854,0,0
855,0,0
856,16,1
857,0,0
858,0,0
859,0,0
860,0,0
861,24,1.5
862,0,0
863,95,5.9375
864,0,0
865,1,0.0625
866,0,0
867,4,0.25
868,32,2
870,16,1
871,0,0
873,3,0.1875
874,16,1
875,0,0
876,24,1.5
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,1,0.0625
883,0,0
884,0,0
885,0,0
886,-12,-0.75
887,0,0
888,1,0.0625
889,2,0.125
890,0,0
891,0,0
892,0,0
893,0,0
894,1,0.0625
895,2,0.125
896,0,0
897,3,0.1875
898,16,1
899,0,0
900,185,11.5625
901,64,4
902,0,0
903,16,1
904,16,1
905,250,15.625
906,0,0
907,0,0
908,0,0
909,8,0.5
